60.4404 	EXP 	text_2: autoDraw = True
65.4238 	EXP 	text_2: autoDraw = False
65.4238 	EXP 	text_3: autoDraw = True
73.1668 	EXP 	New trial (rep=4, index=0): None
73.1682 	DATA 	Keypress: space
73.1771 	EXP 	text_3: autoDraw = False
73.1771 	EXP 	text_4: autoDraw = True
74.2249 	DATA 	Keypress: space
74.2395 	EXP 	text_4: autoDraw = False
74.2395 	EXP 	text_2: autoDraw = True
79.2235 	EXP 	text_2: autoDraw = False
79.2235 	EXP 	text_3: autoDraw = True
88.1036 	EXP 	New trial (rep=5, index=0): None
88.1056 	DATA 	Keypress: space
88.1126 	EXP 	text_3: autoDraw = False
88.1126 	EXP 	text_4: autoDraw = True
89.7245 	DATA 	Keypress: space
89.7386 	EXP 	text_4: autoDraw = False
89.7386 	EXP 	text_2: autoDraw = True
94.7223 	EXP 	text_2: autoDraw = False
94.7223 	EXP 	text_3: autoDraw = True
102.7029 	EXP 	New trial (rep=6, index=0): None
102.7042 	DATA 	Keypress: space
102.7113 	EXP 	text_3: autoDraw = False
102.7113 	EXP 	text_4: autoDraw = True
104.0229 	DATA 	Keypress: space
104.0380 	EXP 	text_4: autoDraw = False
104.0380 	EXP 	text_2: autoDraw = True
109.0213 	EXP 	text_2: autoDraw = False
109.0213 	EXP 	text_3: autoDraw = True
116.9067 	EXP 	New trial (rep=7, index=0): None
116.9081 	DATA 	Keypress: space
116.9137 	EXP 	text_3: autoDraw = False
116.9137 	EXP 	text_4: autoDraw = True
118.1220 	DATA 	Keypress: space
118.1369 	EXP 	text_4: autoDraw = False
118.1369 	EXP 	text_2: autoDraw = True
123.1205 	EXP 	text_2: autoDraw = False
123.1205 	EXP 	text_3: autoDraw = True
131.4574 	EXP 	New trial (rep=8, index=0): None
131.4587 	DATA 	Keypress: space
131.4643 	EXP 	text_3: autoDraw = False
131.4643 	EXP 	text_4: autoDraw = True
132.8547 	DATA 	Keypress: space
132.8693 	EXP 	text_4: autoDraw = False
132.8693 	EXP 	text_2: autoDraw = True
137.8535 	EXP 	text_2: autoDraw = False
137.8535 	EXP 	text_3: autoDraw = True
145.4817 	EXP 	New trial (rep=9, index=0): None
145.4833 	DATA 	Keypress: space
145.4909 	EXP 	text_3: autoDraw = False
145.4909 	EXP 	text_4: autoDraw = True
147.2370 	DATA 	Keypress: space
147.2520 	EXP 	text_4: autoDraw = False
147.2520 	EXP 	text_2: autoDraw = True
152.2355 	EXP 	text_2: autoDraw = False
152.2355 	EXP 	text_3: autoDraw = True
160.2712 	DATA 	Keypress: space
160.2766 	EXP 	text_3: autoDraw = False
160.2766 	EXP 	text_5: autoDraw = True
162.1022 	DATA 	Keypress: space
165.2847 	EXP 	text_5: autoDraw = False
165.2847 	EXP 	OpenCloseEye: status = STOPPED
165.3149 	EXP 	window1: mouseVisible = True
